날짜,종가,오픈,고가,저가,거래량,변동,업비트,김프,사차산업,블록체인,머스크
2016.12.6,758.2 ,754.3 ,762.5 ,750.9 ,33.43K,0.0051,0,0.0039,0.03357,0.03982,0.02069
2016.12.7,765.6 ,758.2 ,769.0 ,754.3 ,34.87K,0.0097,0,0.0024,0.02563,0.04366,0.02088
2016.12.8,768.5 ,765.6 ,773.4 ,761.2 ,28.78K,0.0038,0,0.00475,0.02336,0.04073,0.01958
2016.12.9,770.5 ,768.5 ,773.5 ,765.0 ,24.18K,0.0026,0,0.00436,0.02017,0.0283,0.03832
2016.12.10,774.0 ,770.5 ,777.0 ,769.2 ,18.02K,0.0046,0,0.00292,0.01327,0.01861,0.01744
2016.12.11,767.9 ,774.0 ,774.2 ,763.0 ,17.14K,-0.0079,3.90E-04,0.00286,0.0147,0.01659,0.01854
2016.12.12,778.5 ,767.9 ,781.3 ,767.9 ,28.76K,0.0138,0,0.00422,0.02258,0.03338,0.02707
2016.12.13,778.7 ,778.5 ,790.3 ,767.8 ,33.11K,0.0003,0,0.00449,0.02778,0.03885,0.02453
2016.12.14,776.5 ,778.7 ,780.8 ,771.0 ,24.78K,-0.0029,0,0.00325,0.0255,0.04691,0.02134
2016.12.15,775.2 ,776.5 ,780.3 ,773.1 ,26.22K,-0.0017,0,0.00605,0.02576,0.04301,0.02856
2016.12.16,782.0 ,775.2 ,783.9 ,773.3 ,27.61K,0.0088,0,0.00422,0.01906,0.02915,0.01906
2016.12.17,787.2 ,782.0 ,791.6 ,779.4 ,23.58K,0.0065,0,0.00123,0.01581,0.02251,0.01529
2016.12.18,789.0 ,787.2 ,791.3 ,783.8 ,14.53K,0.0023,0,0.00175,0.01711,0.01594,0.01574
2016.12.19,789.8 ,789.0 ,793.7 ,786.3 ,25.46K,0.001,0,0.00351,0.02368,0.03331,0.02316
2016.12.20,799.1 ,789.8 ,800.0 ,787.1 ,34.48K,0.0118,0,0.0039,0.02121,0.03117,0.0283
2016.12.21,829.2 ,799.1 ,833.1 ,796.0 ,65.29K,0.0377,3.20E-04,0.0039,0.02713,0.03839,0.02472
2016.12.22,860.2 ,829.2 ,874.7 ,828.9 ,70.56K,0.0373,0,0.00286,0.02498,0.0408,0.02101
2016.12.23,917.2 ,860.2 ,920.3 ,858.0 ,102.22K,0.0663,0,0.00507,0.02219,0.03026,0.01945
2016.12.24,891.1 ,917.2 ,920.5 ,880.8 ,46.03K,-0.0285,0,0.00266,0.01151,0.01386,0.01633
2016.12.25,891.1 ,891.1 ,895.2 ,851.4 ,42.48K,0,0,0.0024,0.01301,0.01425,0.01854
2016.12.26,898.4 ,891.1 ,909.3 ,885.9 ,38.79K,0.0082,0,0.00331,0.02193,0.03819,0.02238
2016.12.27,925.8 ,898.4 ,937.9 ,893.4 ,49.69K,0.0305,0,0.00416,0.02824,0.03488,0.01971
2016.12.28,972.2 ,925.8 ,974.5 ,925.5 ,77.29K,0.0501,0,0.00436,0.01919,0.04659,0.02167
2016.12.29,971.1 ,972.2 ,982.6 ,949.2 ,61.13K,-0.0011,0,0.00305,0.02355,0.0298,0.02433
2016.12.30,959.0 ,971.1 ,971.6 ,927.4 ,70.84K,-0.0124,0,0.00377,0.0296,0.02355,0.02147
2016.12.31,963.4 ,959.0 ,965.5 ,942.4 ,27.56K,0.0045,0,0.00253,0.0188,0.01347,0.01516
2017.1.1,995.4 ,963.4 ,1001.6 ,956.1 ,41.15K,0.0333,0,0.00182,0.02511,0.01835,0.01587
2017.1.2,1017.0 ,995.4 ,1031.7 ,990.2 ,64.95K,0.0217,0,0.00383,0.13639,0.04802,0.01815
2017.1.3,1033.3 ,1017.0 ,1035.5 ,1006.5 ,54.79K,0.016,0,0.00514,0.05707,0.06071,0.02232
2017.1.4,1135.4 ,1033.3 ,1148.5 ,1022.3 ,156.27K,0.0988,0,0.00462,0.03872,0.04444,0.0231
2017.1.5,989.3 ,1135.4 ,1150.6 ,874.5 ,240.01K,-0.1286,0,0.00514,0.04047,0.05101,0.02114
2017.1.6,886.2 ,989.3 ,1027.4 ,852.5 ,194.29K,-0.1043,0,0.00422,0.05303,0.04529,0.02062
2017.1.7,888.9 ,886.2 ,900.9 ,806.7 ,130.66K,0.0031,0,0.00188,0.0406,0.02388,0.01496
2017.1.8,900.9 ,888.9 ,936.1 ,875.8 ,76.91K,0.0135,0,0.00273,0.03039,0.02681,0.01301
2017.1.9,899.8 ,900.9 ,910.5 ,870.9 ,62.58K,-0.0012,0,0.00396,0.04281,0.05882,0.02043
2017.1.10,904.4 ,899.8 ,911.3 ,890.1 ,53.71K,0.0051,0,0.00331,0.05694,0.07594,0.02121
2017.1.11,785.4 ,904.4 ,917.7 ,751.6 ,194.44K,-0.1315,0,0.00299,0.049,0.06592,0.02108
2017.1.12,810.1 ,785.4 ,828.2 ,739.5 ,120.24K,0.0314,0,0.00572,0.05271,0.04724,0.02264
2017.1.13,824.8 ,810.1 ,835.0 ,771.0 ,89.86K,0.0182,0,0.00357,0.04672,0.04672,0.01861
2017.1.14,819.6 ,824.8 ,838.9 ,808.3 ,44.21K,-0.0063,0,0.00169,0.02817,0.02668,0.01483
2017.1.15,821.2 ,819.6 ,826.4 ,808.6 ,24.40K,0.0019,0,0.00351,0.02622,0.03227,0.01796
2017.1.16,827.3 ,821.2 ,836.7 ,817.7 ,33.22K,0.0075,0,0.00409,0.04334,0.07008,0.02342
2017.1.17,899.7 ,827.3 ,906.4 ,825.0 ,82.21K,0.0874,0,0.00494,0.04112,0.05511,0.02043
2017.1.18,872.0 ,899.7 ,913.7 ,845.9 ,69.26K,-0.0307,0,0.00403,0.04353,0.05908,0.0203
2017.1.19,895.2 ,872.0 ,905.3 ,870.7 ,58.44K,0.0266,0,0.0052,0.0447,0.05193,0.01906
2017.1.20,892.9 ,895.2 ,901.5 ,878.9 ,38.87K,-0.0026,0,0.00312,0.03839,0.05043,0.02075
2017.1.21,919.8 ,892.9 ,928.9 ,889.5 ,40.38K,0.0302,0,0.00273,0.02219,0.02908,0.01659
2017.1.22,918.8 ,919.8 ,938.4 ,888.6 ,47.93K,-0.0011,0,0.00227,0.02362,0.02537,0.01971
2017.1.23,921.5 ,918.8 ,928.0 ,910.8 ,32.74K,0.0029,0,0.00462,0.05882,0.06012,0.02238
2017.1.24,893.8 ,921.5 ,925.6 ,889.2 ,58.87K,-0.0301,0,0.00351,0.04672,0.04965,0.01997
2017.1.25,894.4 ,893.8 ,905.7 ,883.6 ,37.90K,0.0007,0,0.00305,0.04639,0.04731,0.01919
2017.1.26,915.6 ,894.4 ,919.3 ,893.5 ,33.80K,0.0236,4.50E-04,0.00273,0.03637,0.0365,0.02075
2017.1.27,918.0 ,915.6 ,922.6 ,907.9 ,30.97K,0.0027,0,0.00156,0.02902,0.01926,0.01242
2017.1.28,918.5 ,918.0 ,921.9 ,912.8 ,14.31K,0.0005,0,0.00175,0.02498,0.02069,0.01281
2017.1.29,914.5 ,918.5 ,922.4 ,912.7 ,11.05K,-0.0043,0,0.0024,0.027,0.02232,0.01347
2017.1.30,920.7 ,914.5 ,922.3 ,911.5 ,19.06K,0.0068,0,0.00338,0.03676,0.03032,0.01991
2017.1.31,965.5 ,920.7 ,967.5 ,917.4 ,54.67K,0.0486,0,0.00442,0.05147,0.06286,0.02258
2017.2.1,982.4 ,965.5 ,986.6 ,959.8 ,45.22K,0.0175,0,0.00377,0.07854,0.06559,0.0229
2017.2.2,1004.0 ,982.4 ,1009.1 ,973.5 ,50.86K,0.0219,0,0.0037,0.07288,0.05199,0.03865
2017.2.3,1013.0 ,1004.0 ,1023.7 ,989.2 ,61.67K,0.009,0,0.00566,0.08856,0.04815,0.02596
